Дата;Обращения
2019-05-14;42137
2019-05-15;42970
2019-05-16;41587
2019-05-17;38973
2019-05-18;25276
2019-05-19;20879
2019-05-20;42357
2019-05-21;42708
2019-05-22;40908
2019-05-23;39087
2019-05-24;38430
2019-05-25;24150
2019-05-26;20653
2019-05-27;40385
2019-05-28;40241
2019-05-29;40301
2019-05-30;40976
2019-05-31;38424
2019-06-01;23285
2019-06-02;20409
2019-06-03;40752
2019-06-04;39168
2019-06-05;39967
2019-06-06;39704
2019-06-07;38736
2019-06-08;25300
2019-06-09;20603
2019-06-10;40952
2019-06-11;40694
2019-06-12;26862
2019-06-13;39367
2019-06-14;39806
2019-06-15;27015
2019-06-16;23347
2019-06-17;41546
2019-06-18;41169
2019-06-19;40164
2019-06-20;39785
2019-06-21;32564
2019-06-22;24296
2019-06-23;20309
2019-06-24;38397
2019-06-25;40717
2019-06-26;38637
2019-06-27;37728
2019-06-28;38384
2019-06-29;25720
2019-06-30;23369
2019-07-01;43398
2019-07-02;38356
2019-07-03;36885
2019-07-04;35264
2019-07-05;32423
2019-07-06;23891
2019-07-07;19559
2019-07-08;36366
2019-07-09;36394
2019-07-10;38126
2019-07-11;36252
2019-07-12;35237
2019-07-13;23225
2019-07-14;19110
2019-07-15;37254
2019-07-16;36429
2019-07-17;36404
2019-07-18;34710
2019-07-19;33233
2019-07-20;22391
2019-07-21;19024
2019-07-22;35840
2019-07-23;35178
2019-07-24;34658
2019-07-25;34793
2019-07-26;32171
2019-07-27;20593
2019-07-28;17756
2019-07-29;34129
2019-07-30;33769
2019-07-31;33961
2019-08-01;32001
2019-08-02;32195
2019-08-03;21366
2019-08-04;18430
2019-08-05;34393
2019-08-06;34549
2019-08-07;33920
2019-08-08;33755
2019-08-09;33166
2019-08-10;22235
2019-08-11;18796
2019-08-12;34913
2019-08-13;35483
2019-08-14;34785
2019-08-15;35700
2019-08-16;33037
2019-08-17;22055
2019-08-18;18951
2019-08-19;34172
2019-08-20;35362
2019-08-21;34570
2019-08-22;33549
2019-08-23;32255
2019-08-24;21127
2019-08-25;17990
2019-08-26;32283
2019-08-27;32533
2019-08-28;32456
2019-08-29;31896
2019-08-30;31179
2019-08-31;21542
2019-09-01;17672
2019-09-02;30937
2019-09-03;32917
2019-09-04;33254
2019-09-05;33379
2019-09-06;32312
2019-09-07;21053
2019-09-08;18037
2019-09-09;33733
2019-09-10;35435
2019-09-11;35401
2019-09-12;34234
2019-09-13;33263
2019-09-14;22888
2019-09-15;19635
2019-09-16;34529
2019-09-17;34198
2019-09-18;33609
2019-09-19;33035
2019-09-20;35864
2019-09-21;22756
2019-09-22;19045
2019-09-23;33617
2019-09-24;33987
2019-09-25;33479
2019-09-26;33152
2019-09-27;32417
2019-09-28;22859
2019-09-29;19620
2019-09-30;35832
2019-10-01;34798
2019-10-02;33520
2019-10-03;32423
2019-10-04;31042
2019-10-05;21961
2019-10-06;18441
2019-10-07;32967
2019-10-08;33081
2019-10-09;33221
2019-10-10;33927
2019-10-11;33656
2019-10-12;22825
2019-10-13;19335
2019-10-14;34045
2019-10-15;37400
2019-10-16;43774
2019-10-17;38430
2019-10-18;33909
2019-10-19;22330
2019-10-20;18897
2019-10-21;14085
2019-10-22;25197
2019-10-23;32739
2019-10-24;31822
2019-10-25;31049
2019-10-26;21161
2019-10-27;18037
2019-10-28;31613
2019-10-29;31299
2019-10-30;31425
2019-10-31;31030
2019-11-01;29065
2019-11-02;20593
2019-11-03;17686
2019-11-04;20079
2019-11-05;32168
2019-11-06;31204
2019-11-07;31028
2019-11-08;30741
2019-11-09;22271
2019-11-10;19058
2019-11-11;32746
2019-11-12;33268
2019-11-13;32460
2019-11-14;31675
2019-11-15;32056
2019-11-16;23504
2019-11-17;20019
2019-11-18;32889
2019-11-19;32915
2019-11-20;32928
2019-11-21;31359
2019-11-22;30263
2019-11-23;21785
2019-11-24;18392
2019-11-25;32311
2019-11-26;32436
2019-11-27;32145
2019-11-28;31484
2019-11-29;31295
2019-11-30;23657
2019-12-01;20383
2019-12-02;32530
2019-12-03;32484
2019-12-04;31739
2019-12-05;32717
2019-12-06;31201
2019-12-07;22582
2019-12-08;19731
2019-12-09;36040
2019-12-10;36162
2019-12-11;35315
2019-12-12;34761
2019-12-13;34387
2019-12-14;24934
2019-12-15;21153
2019-12-16;35394
2019-12-17;35041
2019-12-18;34718
2019-12-19;35721
2019-12-20;33734
2019-12-21;24439
2019-12-22;20779
2019-12-23;34582
2019-12-24;34295
2019-12-25;34528
2019-12-26;33992
2019-12-27;33269
2019-12-28;25353
2019-12-29;20426
2019-12-30;30094
2019-12-31;18006
2020-01-01;
2020-01-02;
2020-01-03;
2020-01-04;
2020-01-05;
2020-01-06;
2020-01-07;
2020-01-08;
2020-01-09;
2020-01-10;
2020-01-11;
2020-01-12;
2020-01-13;
2020-01-14;
2020-01-15;
2020-01-16;
2020-01-17;
2020-01-18;
2020-01-19;
2020-01-20;
2020-01-21;
2020-01-22;
2020-01-23;
2020-01-24;
2020-01-25;
2020-01-26;
2020-01-27;
2020-01-28;
2020-01-29;
2020-01-30;
2020-01-31;
2020-02-01;
2020-02-02;
2020-02-03;
2020-02-04;
2020-02-05;
2020-02-06;
2020-02-07;
2020-02-08;
2020-02-09;
2020-02-10;
2020-02-11;
2020-02-12;
2020-02-13;
2020-02-14;
2020-02-15;
2020-02-16;
2020-02-17;
2020-02-18;
2020-02-19;
2020-02-20;
2020-02-21;
2020-02-22;
2020-02-23;
2020-02-24;
2020-02-25;
2020-02-26;
2020-02-27;
2020-02-28;
2020-02-29;
2020-03-01;
2020-03-02;
2020-03-03;
2020-03-04;
2020-03-05;
2020-03-06;
2020-03-07;
2020-03-08;
2020-03-09;
2020-03-10;
2020-03-11;
2020-03-12;
2020-03-13;
2020-03-14;
2020-03-15;
2020-03-16;
2020-03-17;
2020-03-18;
2020-03-19;
2020-03-20;
2020-03-21;
2020-03-22;
2020-03-23;
2020-03-24;
2020-03-25;
2020-03-26;
2020-03-27;
2020-03-28;
2020-03-29;
2020-03-30;
2020-03-31;
2020-04-01;
2020-04-02;
2020-04-03;
2020-04-04;
2020-04-05;
2020-04-06;
2020-04-07;
2020-04-08;
2020-04-09;
2020-04-10;
2020-04-11;
2020-04-12;
2020-04-13;
2020-04-14;
2020-04-15;
2020-04-16;
2020-04-17;
2020-04-18;
2020-04-19;
2020-04-20;
2020-04-21;
2020-04-22;
2020-04-23;
2020-04-24;
2020-04-25;
2020-04-26;
2020-04-27;
2020-04-28;
2020-04-29;
2020-04-30;
2020-05-01;
2020-05-02;
2020-05-03;
2020-05-04;
2020-05-05;
2020-05-06;
2020-05-07;
2020-05-08;
2020-05-09;
2020-05-10;
2020-05-11;
2020-05-12;
2020-05-13;
2020-05-14;
2020-05-15;
2020-05-16;
2020-05-17;
2020-05-18;
2020-05-19;
2020-05-20;
2020-05-21;
2020-05-22;
2020-05-23;
2020-05-24;
2020-05-25;
2020-05-26;
2020-05-27;
2020-05-28;
2020-05-29;
2020-05-30;
2020-05-31;
2020-06-01;
2020-06-02;
2020-06-03;
2020-06-04;
2020-06-05;
2020-06-06;
2020-06-07;
2020-06-08;
2020-06-09;
2020-06-10;
2020-06-11;
2020-06-12;
2020-06-13;
2020-06-14;
2020-06-15;
2020-06-16;
2020-06-17;
2020-06-18;
2020-06-19;
2020-06-20;
2020-06-21;
2020-06-22;
2020-06-23;
2020-06-24;
2020-06-25;
2020-06-26;
2020-06-27;
2020-06-28;
2020-06-29;
2020-06-30;
